,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-2.71, -0.1, 5.69]","([0.04, 0.04, -0.01], [-2.95, 2.9, 1.97])",DownSide
2,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.18, -4.47, 4.78]","([0.0, -0.0, 0.0], [0.0, 0.0, -0.0])",SideSurface
3,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.86, 3.04, 5.72]","([0.01, 0.05, -0.01], [-3.99, 0.72, 1.84])",DownSide
4,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.63, -1.86, 5.76]","([0.03, 0.01, 0.0], [-1.02, 2.4, -0.94])",UpSide
5,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[3.71, -2.17, 5.01]","([-1.2, 0.56, 0.02], [-5.17, -11.87, -0.1])",SideSurface
6,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.18, 2.48, 5.94]","([0.03, 0.03, -0.0], [-2.07, 2.27, 1.22])",DownSide
7,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[4.55, -3.45, 5.34]","([-0.03, -0.0, -0.0], [0.54, -2.33, 0.76])",UpSide
8,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-2.38, -2.9, 4.36]","([0.0, -0.03, -0.0], [2.48, -0.08, -0.83])",UpSide
9,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[4.15, -0.51, 5.24]","([0.0, -0.03, 0.0], [2.46, 0.24, -0.83])",DownSide
10,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[2.89, -1.84, 4.53]","([0.0, -0.08, -0.01], [5.18, 0.24, -2.9])",UpSide
11,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.46, -4.39, 4.56]","([1.11, -2.13, 0.0], [20.81, 11.01, -0.34])",SideSurface
12,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.62, 0.39, 5.44]","([-0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
13,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-0.87, 4.2, 5.74]","([0.04, -0.27, -0.0], [2.64, 0.39, 0.01])",SideSurface
14,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-2.97, 3.31, 5.88]","([0.1, -0.01, -0.0], [0.57, 5.95, 4.25])",UpSide
15,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.5, 3.52, 5.74]","([-0.79, 0.99, 0.05], [-9.67, -7.91, -0.07])",SideSurface
16,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-1.9, 4.52, 4.8]","([-0.01, 0.04, 0.0], [-3.23, -0.36, -1.3])",DownSide
17,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.41, -1.19, 4.17]","([-0.02, -0.03, -0.01], [2.39, -1.45, -1.05])",DownSide
18,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[3.41, 2.76, 5.24]","([-0.03, -0.28, 0.0], [2.75, -0.26, 0.01])",SideSurface
19,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-0.75, 2.46, 5.32]","([0.02, -0.03, -0.0], [2.47, 1.73, 1.18])",DownSide
20,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.03, -4.24, 5.47]","([0.0, -0.0, 0.0], [0.0, 0.0, 0.0])",SideSurface
21,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-2.3, 2.67, 4.03]","([0.04, -0.08, -0.01], [4.94, 2.54, -3.46])",DownSide
22,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.32, -4.44, 5.54]","([0.08, 0.06, -0.0], [-3.55, 4.85, -4.37])",DownSide
23,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-1.19, -1.09, 5.14]","([-0.01, 0.03, -0.0], [-2.08, -1.18, 0.79])",UpSide
24,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[4.55, 1.27, 5.92]","([0.88, 1.78, -0.01], [-17.57, 8.59, -0.13])",SideSurface
25,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-1.27, 1.76, 4.22]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",SideSurface
26,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[1.53, 2.04, 4.07]","([0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",DownSide
27,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[4.66, -1.51, 5.42]","([0.03, -0.03, -0.0], [2.24, 2.29, 1.32])",DownSide
28,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[3.12, -3.97, 4.7]","([-1.19, -0.11, -0.01], [1.46, -11.61, -0.11])",SideSurface
29,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-1.75, -4.69, 4.52]","([-0.17, 1.05, 0.01], [-8.27, -1.27, -5.62])",DownSide
30,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[3.5, 3.34, 4.16]","([0.31, -0.82, -0.02], [8.32, 2.42, 0.03])",SideSurface
31,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.03, 4.75, 5.18]","([0.04, -0.11, -0.01], [5.97, 2.11, 4.87])",DownSide
32,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[4.27, 0.02, 4.59]","([-0.19, -0.7, 0.05], [6.85, -1.91, 0.07])",SideSurface
33,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[4.88, -0.73, 4.8]","([-0.57, -0.69, -0.0], [6.72, -5.86, 0.02])",SideSurface
34,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.32, -3.3, 4.16]","([-0.0, -0.05, 0.0], [3.98, -0.29, -1.82])",DownSide
35,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-2.87, -3.97, 4.0]","([-0.23, -0.13, -0.0], [1.28, -2.3, -0.01])",SideSurface
36,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-1.6, -2.19, 4.81]","([0.03, -0.03, 0.0], [2.09, 2.0, -1.12])",DownSide
37,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.42, 0.58, 4.05]","([0.49, -1.3, -0.06], [13.0, 4.23, 0.04])",SideSurface
38,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[3.62, -3.76, 5.23]","([-0.02, -0.03, 0.0], [2.05, -1.08, 0.79])",DownSide
39,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[1.71, -1.02, 4.53]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",SideSurface
40,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.22, 3.0, 4.43]","([0.01, 0.09, -0.0], [-5.57, 0.53, -3.46])",UpSide
41,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[1.83, -1.07, 4.33]","([0.07, -0.01, -0.01], [0.92, 5.08, 2.88])",DownSide
42,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.14, -3.48, 4.35]","([0.75, 0.58, 0.02], [-5.72, 7.39, 0.08])",SideSurface
43,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.0, -3.57, 4.74]","([-0.04, -0.05, 0.0], [3.28, -2.77, 2.07])",DownSide
44,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[3.21, -3.82, 4.88]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",SideSurface
45,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-3.56, -0.38, 5.2]","([-0.28, 0.01, 0.0], [-0.05, -2.74, -0.02])",SideSurface
46,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-1.24, -4.68, 5.06]","([0.0, -0.05, -0.0], [3.71, 0.07, -1.62])",DownSide
47,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.48, -0.33, 5.68]","([0.6, 0.8, 0.01], [-8.1, 5.72, -0.02])",SideSurface
48,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[-4.95, -3.35, 5.88]","([-2.75, -0.74, -0.07], [7.66, -26.88, -0.12])",SideSurface
49,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[1.82, -3.65, 4.75]","([-0.8, -0.91, 0.06], [8.99, -7.88, -0.13])",SideSurface
50,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.7, -3.99, 4.87]","([0.06, -0.06, -0.01], [3.86, 3.79, -3.29])",UpSide
